Timestamp ID Value1 Value2 Value3 Value4 Byte1 Byte2 Byte3 Byte4
143213 0x2314 0 0 0 0 0 0 0 0
143660 0x2014 0 0 0 0 FF 48 0 1
143638 0x2114 0 0 0 0 FF FF FF FF
143645 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143660 0x2014 0 0 0 0 FF 48 0 1
143667 0x2114 0 0 0 0 FF FF FF FF
143645 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143660 0x2014 0 0 0 0 FF 48 0 1
143667 0x2114 0 0 0 0 FF FF FF FF
143645 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143682 0x2014 0 0 0 0 FF 90 0 0
143667 0x2114 0 0 0 0 FF FF FF FF
143645 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143682 0x2014 0 0 0 0 FF 90 0 0
143690 0x2114 0 0 0 0 FF FF FF FF
143645 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143682 0x2014 0 0 0 0 FF 90 0 0
143690 0x2114 0 0 0 0 FF FF FF FF
143645 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143704 0x2014 0 0 0 0 FF B7 0 1
143690 0x2114 0 0 0 0 FF FF FF FF
143645 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143704 0x2014 0 0 0 0 FF B7 0 1
143712 0x2114 0 0 0 0 FF FF FF FF
143645 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143704 0x2014 0 0 0 0 FF B7 0 1
143712 0x2114 0 0 0 0 FF FF FF FF
143719 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143704 0x2014 0 0 0 0 FF B7 0 1
143712 0x2114 0 0 0 0 FF FF FF FF
143719 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143734 0x2014 0 0 0 0 FF 97 0 1
143712 0x2114 0 0 0 0 FF FF FF FF
143719 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143734 0x2014 0 0 0 0 FF 97 0 1
143742 0x2114 0 0 0 0 FF FF FF FF
143719 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143734 0x2014 0 0 0 0 FF 97 0 1
143742 0x2114 0 0 0 0 FF FF FF FF
143719 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143757 0x2014 0 0 0 0 FF BE 0 0
143742 0x2114 0 0 0 0 FF FF FF FF
143719 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143757 0x2014 0 0 0 0 FF BE 0 0
143764 0x2114 0 0 0 0 FF FF FF FF
143719 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143757 0x2014 0 0 0 0 FF BE 0 0
143764 0x2114 0 0 0 0 FF FF FF FF
143771 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143757 0x2014 0 0 0 0 FF BE 0 0
143764 0x2114 0 0 0 0 FF FF FF FF
143771 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143786 0x2014 0 0 0 0 FF 6B 0 1
143764 0x2114 0 0 0 0 FF FF FF FF
143771 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143786 0x2014 0 0 0 0 FF 6B 0 1
143794 0x2114 0 0 0 0 FF FF FF FF
143771 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143786 0x2014 0 0 0 0 FF 6B 0 1
143794 0x2114 0 0 0 0 FF FF FF FF
143771 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143809 0x2014 0 0 0 0 0 6C 0 0
143794 0x2114 0 0 0 0 FF FF FF FF
143771 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143809 0x2014 0 0 0 0 0 6C 0 0
143816 0x2114 0 0 0 0 FF FF FF FF
143771 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143809 0x2014 0 0 0 0 0 6C 0 0
143816 0x2114 0 0 0 0 FF FF FF FF
143771 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143831 0x2014 0 0 0 0 FF 6C 0 0
143816 0x2114 0 0 0 0 FF FF FF FF
143771 0x2214 0 C7 4 F5 2 FF FF FF
